task	family	reward	cost_usd	wall_s	turns
1bb649-mechanical	intradrawing/sheet-index-consistency	0.5	0.7529	0	29
2021-0525_uccs-cybersecurity-bro	?	1.0	0.5526	0	24
darr-2-a851-easy	intradrawing/cross-reference-tracing	0.0	0.5637	0	23
darr-3-a251-medium	intradrawing/cross-reference-tracing	0.1	0.9910	0	41
darr-6-a651-medium	intradrawing/cross-reference-tracing	0.0	0.7245	0	37
darr-7-a851-easy	intradrawing/cross-reference-tracing	0.0	0.8742	0	44
lear-theater-landscape-03-01	intradrawing/cross-reference-resolution	0.0	0.9201	0	32
lear-theater-landscape-03-03	intradrawing/cross-reference-resolution	1.0	0.3073	0	17
lear-theater-landscape-03-04	intradrawing/cross-reference-resolution	1.0	0.6565	0	36
rees-2-s601-easy	intradrawing/cross-reference-tracing	1.0	1.1129	0	57
rees-6-a801-easy	intradrawing/cross-reference-tracing	0.0	0.9137	0	39
rees-9-a703-hard	intradrawing/cross-reference-tracing	0.0	0.8182	0	50
rees-rtc-content-mismatch-01-02	intradrawing/cross-reference-resolution	1.0	0.8417	0	29
uccs-1-t921-easy	intradrawing/cross-reference-tracing	0.0	0.3145	0	23
uccs-3-t611-easy	intradrawing/cross-reference-tracing	1.0	0.6664	0	34
uccs-4-t711-hard	intradrawing/cross-reference-tracing	0.29	1.5201	0	38
uccs-architectural-envelope-02	intradrawing/cross-reference-resolution	1.0	0.4057	0	23
uccs-architectural-envelope-03	intradrawing/cross-reference-resolution	1.0	0.4057	0	23
uccs-plumbing-mechanical-01	intradrawing/cross-reference-resolution	1.0	0.3969	0	24
uccs-plumbing-mechanical-02	intradrawing/cross-reference-resolution	1.0	0.6753	0	37
uccs-plumbing-mechanical-03	intradrawing/cross-reference-resolution	0.5	0.7743	0	36
uccs-telecom-riser	intradrawing/cross-reference-resolution	1.0	0.5155	0	29
usu-1-s230-easy	intradrawing/cross-reference-tracing	0.0	1.9214	0	85
usu-10-s220-hard	intradrawing/cross-reference-tracing	0.0	0.3953	0	25
usu-3-pl401-easy	intradrawing/cross-reference-tracing	0.38	0.3456	0	22
usu-4-s210-hard	intradrawing/cross-reference-tracing	0.0	0.8237	0	42
usu-aspire-civil	intradrawing/cross-reference-resolution	1.0	0.3401	0	26
usu-aspire-content-mismatch-civi	?	1.0	0.6177	0	28
usu-aspire-content-mismatch-stru	?	0.5	0.5537	0	24
usu-aspire-landscape-structural	?	1.0	1.5689	0	76
usu-aspire-multi-discipline-01	intradrawing/cross-reference-resolution	1.0	0.4342	0	28
usu-aspire-multi-discipline-02	intradrawing/cross-reference-resolution	1.0	0.5236	0	34
usu-aspire-multi-discipline-03	intradrawing/cross-reference-resolution	1.0	0.4405	0	21
usu-aspire-multi-discipline-04	intradrawing/cross-reference-resolution	0.0	0.3590	0	25
usu-b4-a541-medium	intradrawing/cross-reference-tracing	0.0	1.0293	0	57
wcu-b1-a511-easy	intradrawing/cross-reference-tracing	1.0	0.4576	0	22
wcu-general-coordination-01	intradrawing/cross-reference-resolution	1.0	0.7087	0	37
wcu-general-coordination-02	intradrawing/cross-reference-resolution	1.0	0.4021	0	26
wcu-general-coordination-03	intradrawing/cross-reference-resolution	0.0	0.9000	0	37
wcu-life-safety-01	intradrawing/cross-reference-resolution	1.0	0.3193	0	22
wcu-life-safety-02	intradrawing/cross-reference-resolution	1.0	0.7754	0	35
wenatchee-library-interior-01	intradrawing/cross-reference-resolution	1.0	0.9825	0	45
wenatchee-library-interior-02	intradrawing/cross-reference-resolution	0.0	0.8899	0	50
wenatchee-library-interior-03	intradrawing/cross-reference-resolution	0.0	0.7781	0	39
nmacon-gypsum-board-easy	intraproject/spec-drawing-sync	1.0	1.5596	963	23
nmacon-hollow-metal-doors-medium	intraproject/spec-drawing-sync	0.0	0.7365	460	27
nmacon-panelboards-clean	intraproject/spec-drawing-sync	0.0	0.9310	584	59
nmacon-standing-seam-roof-hard	intraproject/spec-drawing-sync	1.0	0.9666	645	57
rees-gypsum-board-easy	intraproject/spec-drawing-sync	0.67	1.0308	566	21
rees-metal-roof-panels-hard	intraproject/spec-drawing-sync	1.0	1.3592	540	73
uccs-gypsum-board-easy	intraproject/spec-drawing-sync	1.0	1.2866	638	65
uccs-hollow-metal-doors-hard	intraproject/spec-drawing-sync	0.33	1.4901	412	23
uccs-metal-ducts-clean	intraproject/spec-drawing-sync	0.0	0.9652	404	17
uccs-panelboards-medium	intraproject/spec-drawing-sync	1.0	1.3774	629	59
wcu-gypsum-board-clean	intraproject/spec-drawing-sync	0.0	2.2636	651	33
wcu-hollow-metal-doors-easy	intraproject/spec-drawing-sync	0.0	0.8850	585	43
wcu-storefronts-hard	intraproject/spec-drawing-sync	0.0	0.0179	140	4
wcu-unit-masonry-medium	intraproject/spec-drawing-sync	0.0	0.0178	109	4
3908-bid-set-prints	intradrawing/sheet-index-consistency	1.0	0.3530	201	19
att-c-north-macon	intradrawing/sheet-index-consistency	1.0	2.3414	607	47
bidset-stadium	intradrawing/sheet-index-consistency	1.0	1.5119	481	20
