task	family	reward	cost_usd	turns
1bb649-mechanical	intradrawing/sheet-index-consistency	0.5	0.7529	29
2021-0525_uccs-cybersecurity-bro	?	1.0	0.5526	24
darr-2-a851-easy	intradrawing/cross-reference-tracing	0.0	0.4583	25
darr-2-a851-easy	intradrawing/cross-reference-tracing	0.0	0.5637	23
darr-3-a251-medium	intradrawing/cross-reference-tracing	0.1	0.9910	41
darr-6-a651-medium	intradrawing/cross-reference-tracing	0.0	0.7245	37
darr-7-a851-easy	intradrawing/cross-reference-tracing	0.0	0.8742	44
lear-theater-landscape-03-01	intradrawing/cross-reference-resolution	0.0	0.9201	32
lear-theater-landscape-03-03	intradrawing/cross-reference-resolution	1.0	0.3073	17
lear-theater-landscape-03-04	intradrawing/cross-reference-resolution	1.0	0.6565	36
rees-2-s601-easy	intradrawing/cross-reference-tracing	1.0	1.1129	57
rees-6-a801-easy	intradrawing/cross-reference-tracing	0.0	0.9137	39
rees-9-a703-hard	intradrawing/cross-reference-tracing	0.0	0.3050	22
rees-9-a703-hard	intradrawing/cross-reference-tracing	0.0	0.8182	50
rees-rtc-content-mismatch-01-02	intradrawing/cross-reference-resolution	1.0	0.8417	29
uccs-1-t921-easy	intradrawing/cross-reference-tracing	0.0	0.3145	23
uccs-3-t611-easy	intradrawing/cross-reference-tracing	1.0	0.6664	34
uccs-4-t711-hard	intradrawing/cross-reference-tracing	0.29	1.5201	38
uccs-architectural-envelope-02	intradrawing/cross-reference-resolution	1.0	0.4057	23
uccs-architectural-envelope-03	intradrawing/cross-reference-resolution	1.0	0.4057	23
uccs-plumbing-mechanical-01	intradrawing/cross-reference-resolution	1.0	0.3969	24
uccs-plumbing-mechanical-02	intradrawing/cross-reference-resolution	1.0	0.6753	37
uccs-plumbing-mechanical-03	intradrawing/cross-reference-resolution	0.5	0.7743	36
uccs-telecom-riser	intradrawing/cross-reference-resolution	1.0	0.5155	29
usu-1-s230-easy	intradrawing/cross-reference-tracing	0.0	1.9214	85
usu-10-s220-hard	intradrawing/cross-reference-tracing	0.0	0.3953	25
usu-3-pl401-easy	intradrawing/cross-reference-tracing	0.38	0.3456	22
usu-4-s210-hard	intradrawing/cross-reference-tracing	0.0	0.8237	42
usu-aspire-civil	intradrawing/cross-reference-resolution	1.0	0.3401	26
usu-aspire-content-mismatch-civi	?	0.0	0.7796	39
usu-aspire-content-mismatch-civi	?	1.0	0.6177	28
usu-aspire-content-mismatch-stru	?	0.0	1.3544	57
usu-aspire-content-mismatch-stru	?	0.5	0.5537	24
usu-aspire-landscape-structural	?	1.0	0.4377	25
usu-aspire-landscape-structural	?	1.0	1.5689	76
usu-aspire-multi-discipline-01	intradrawing/cross-reference-resolution	1.0	0.4342	28
usu-aspire-multi-discipline-02	intradrawing/cross-reference-resolution	1.0	0.5236	34
usu-aspire-multi-discipline-03	intradrawing/cross-reference-resolution	1.0	0.4405	21
usu-aspire-multi-discipline-04	intradrawing/cross-reference-resolution	0.0	0.3590	25
usu-b4-a541-medium	intradrawing/cross-reference-tracing	0.0	1.0293	57
wcu-b1-a511-easy	intradrawing/cross-reference-tracing	1.0	0.4576	22
wcu-general-coordination-01	intradrawing/cross-reference-resolution	1.0	0.7087	37
wcu-general-coordination-02	intradrawing/cross-reference-resolution	1.0	0.4021	26
wcu-general-coordination-03	intradrawing/cross-reference-resolution	0.0	0.9000	37
wcu-life-safety-01	intradrawing/cross-reference-resolution	1.0	0.3193	22
wcu-life-safety-02	intradrawing/cross-reference-resolution	1.0	0.7754	35
wenatchee-library-interior-01	intradrawing/cross-reference-resolution	1.0	0.9825	45
wenatchee-library-interior-02	intradrawing/cross-reference-resolution	0.0	0.8899	50
wenatchee-library-interior-03	intradrawing/cross-reference-resolution	0.0	0.7781	39
