task	pdfs	pages	sheets	callouts	details	error
intradrawing/cross-reference-resolution/2021-0525_uccs-cybersecurity-broken	1	133	40	122	366	
intradrawing/cross-reference-resolution/cross-reference-resolution-example	1	27	17	172	149	
intradrawing/cross-reference-resolution/darrington-library-architectural	1	40	21	30	137	
intradrawing/cross-reference-resolution/darrington-library-details-01	1	40	21	30	137	
intradrawing/cross-reference-resolution/darrington-library-details-02	1	40	21	30	137	
intradrawing/cross-reference-resolution/lear-theater-landscape-01	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-02-01	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-02-02	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-03-01	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-03-02	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-03-03	1	27	17	172	149	
intradrawing/cross-reference-resolution/lear-theater-landscape-03-04	1	27	17	172	149	
intradrawing/cross-reference-resolution/north-macon-architectural	1	44	23	27	161	
intradrawing/cross-reference-resolution/north-macon-details-01	1	44	23	27	161	
intradrawing/cross-reference-resolution/north-macon-details-02	1	44	23	27	161	
intradrawing/cross-reference-resolution/rees-rtc-addendum-landscape	1	60	37	56	205	
intradrawing/cross-reference-resolution/rees-rtc-addendum-structural-01	1	60	37	56	205	
intradrawing/cross-reference-resolution/rees-rtc-addendum-structural-02	1	60	37	56	205	
intradrawing/cross-reference-resolution/rees-rtc-content-mismatch-01-01	1	58	32	54	191	
intradrawing/cross-reference-resolution/rees-rtc-content-mismatch-01-02	1	58	32	54	191	
intradrawing/cross-reference-resolution/rees-rtc-multi-discipline-01	1	58	32	54	191	
intradrawing/cross-reference-resolution/rees-rtc-multi-discipline-02	1	58	32	54	191	
intradrawing/cross-reference-resolution/rees-rtc-multi-discipline-03	1	58	32	54	191	
intradrawing/cross-reference-resolution/rees-rtc-structural	1	58	32	54	191	
intradrawing/cross-reference-resolution/uccs-architectural-envelope-01	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-architectural-envelope-02	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-architectural-envelope-03	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-content-mismatch-telecom	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-plumbing-mechanical-01	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-plumbing-mechanical-02	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-plumbing-mechanical-03	1	133	40	122	366	
intradrawing/cross-reference-resolution/uccs-telecom-riser	1	133	40	122	366	
intradrawing/cross-reference-resolution/usu-aspire-civil	1	167	153	85	1685	
